date,time,lon,lat
01/01/2003,18:00,-122.507940899472,37.749108375609296
01/01/2003,22:00,-122.42000112094,37.7433946152786
01/01/2003,16:00,-122.507539443431,37.753787972266394
01/01/2003,20:00,-122.41726390337,37.709302635258105
01/01/2003,10:30,-122.46620466789301,37.7725405391593
01/01/2003,15:00,-122.467630230365,37.7828011737745
01/01/2003,15:44,-122.40541209173401,37.7318198889718
01/01/2003,21:00,-122.415080693167,37.711655803952496
01/01/2003,17:00,-122.425441324746,37.7974080855089
01/01/2004,22:00,-122.48587738438,37.788370894130296
01/01/2004,13:00,-122.464324485172,37.713614800777
01/01/2004,08:40,-122.417146843843,37.7814463501111
01/01/2004,05:00,-122.43359779258002,37.7793537315484
01/01/2004,02:00,-122.432012983282,37.7190565459359
01/01/2004,21:00,-122.43261172424,37.7162133317028
01/01/2004,13:00,-122.40930249803999,37.805205234381
01/01/2004,23:30,-122.427007352681,37.7925816649853
01/01/2004,23:30,-122.412838554026,37.750967876080395
01/01/2004,01:00,-122.394774964401,37.7423424940032
01/01/2005,17:02,-122.440458340998,37.7233296064439
01/01/2005,01:00,-122.42139581912201,37.7856843389243
01/01/2005,03:30,-122.424295891283,37.783398307474705
01/01/2005,17:00,-122.392308546387,37.7766922783325
01/01/2005,19:00,-122.41702839211399,37.760365693161795
01/01/2005,19:00,-122.410374659242,37.735762664656896
01/01/2005,08:00,-122.46447995420401,37.71522722371579
01/01/2005,15:00,-122.4432168391,37.7608293644755
01/01/2005,12:00,-122.39531673101101,37.760085042688395
01/01/2005,00:30,-122.454180388918,37.722669340282
01/01/2005,12:40,-122.457258778458,37.7649243232243
01/01/2005,20:00,-122.476531857663,37.7173471092577
01/01/2005,10:00,-122.414809966364,37.7865194111385
01/01/2005,13:30,-122.44257502581101,37.785915390999705
01/01/2005,21:00,-122.39141241435699,37.760298842252205
01/01/2005,14:00,-122.466335422242,37.7206918022344
01/01/2005,01:30,-122.441516753576,37.77692187031621
01/01/2006,14:35,-122.385290220991,37.7307907400744
01/01/2006,18:50,-122.428813616546,37.7668081482188
01/01/2006,13:00,-122.46099915952101,37.740730876023605
01/01/2006,18:00,-122.415544901462,37.7298756522436
01/01/2006,15:30,-122.486772988151,37.7621853429495
01/01/2006,09:00,-122.431304274727,37.7642928874306
01/01/2006,23:00,-122.42121339889,37.7681976977245
01/01/2006,22:30,-122.404013943546,37.7897518225049
01/01/2006,20:30,-122.43499754189699,37.7337179258057
01/01/2006,08:35,-122.42199472282101,37.776106545006705
01/01/2006,18:00,-122.482070243559,37.780334283520496
01/01/2007,16:00,-122.45886061566999,37.781255093548396
01/01/2007,14:00,-122.474726848505,37.7589732042341
01/01/2007,22:00,-122.438557871099,37.7868585831259
01/01/2007,09:00,-122.473346137476,37.7268544836892
01/01/2007,11:00,-122.461166385784,37.7336600028559
01/01/2007,04:50,-122.419508344774,37.7489027984694
01/01/2007,23:00,-122.427742014075,37.7962197994734
01/01/2008,02:30,-122.42426283411501,37.7349497744655
01/01/2008,14:45,-122.40650848700301,37.7803313209065
01/01/2008,05:00,-122.43811841238801,37.75988130279929
01/01/2008,13:00,-122.410246127857,37.7630304437725
01/01/2008,22:41,-122.41539292005899,37.7483160145865
01/01/2008,10:00,-122.510225749052,37.7672442209616
01/01/2008,16:00,-122.401161555602,37.7820238478975
01/01/2008,21:00,-122.46190434708599,37.7852790878819
01/01/2008,17:42,-122.391245623019,37.7332252032804
01/01/2008,03:30,-122.465804409878,37.739559478139206
01/01/2009,02:00,-122.432933973332,37.787143441941105
01/01/2009,20:00,-122.40968619183701,37.7862042105295
01/01/2009,10:00,-122.435870220186,37.7989514142851
01/01/2009,07:00,-122.407049280588,37.7347835214386
01/01/2009,20:00,-122.446746271794,37.7690753300241
01/01/2009,15:00,-122.424260561379,37.7664064445087
01/01/2009,09:00,-122.424842738845,37.785765227641
01/01/2010,16:00,-122.42638445080601,37.764643937262
01/01/2010,04:00,-122.45346119546998,37.7084753872645
01/01/2010,03:00,-122.41517057910102,37.7403763063677
01/01/2010,22:30,-122.391849084977,37.7345805334314
01/01/2010,12:00,-122.38498127690399,37.729604667480395
01/01/2010,12:00,-122.43037182925801,37.7967808411162
01/01/2010,15:00,-122.414652600787,37.7941089194366
01/01/2011,17:00,-122.44134996233299,37.729860135583294
01/01/2011,02:00,-122.43411112372499,37.773549301489204
01/01/2011,00:01,-122.422977062188,37.7355346049756
01/01/2011,00:01,-122.426495413982,37.735348450768
01/01/2011,17:00,-122.392899342709,37.728490423968296
01/01/2011,20:00,-122.43540303716101,37.708843325528605
01/01/2012,17:00,-122.41061605982901,37.766238070453
01/01/2012,09:00,-122.428805928527,37.7427634833665
01/01/2012,19:00,-122.40035937844699,37.7579182258081
01/01/2012,03:00,-122.392347671978,37.7890603555993
01/01/2012,02:30,-122.426495413982,37.735348450768
01/01/2012,18:00,-122.501954411252,37.741940377132295
01/01/2013,16:30,-122.418835922241,37.797799429482296
01/01/2013,20:00,-122.42535076491001,37.7722825266526
01/01/2013,01:46,-122.405838144649,37.7529785864877
01/01/2013,22:30,-122.403200768251,37.7492481509753
01/01/2013,17:30,-122.380382266471,37.7353538209895
01/01/2013,19:00,-122.402419910628,37.7141098299563
01/01/2013,10:00,-122.404752558962,37.7672561981064
01/01/2013,12:30,-122.407058676785,37.7253997701026
01/01/2013,20:00,-122.42239642406,37.7864543795731
01/01/2013,02:00,-122.47609606529801,37.75143288437761
01/01/2013,18:00,-122.398467509702,37.7618070110114
01/01/2013,04:45,-122.38959528325199,37.7798611974198
